epoch,MaP,MaP@[IoU=50],MaP@[IoU=75],MaP@[area=large],MaP@[area=medium],MaP@[area=small],Recall@[area=large],Recall@[area=medium],Recall@[area=small],Recall@[max_detections=100],Recall@[max_detections=10],Recall@[max_detections=1],box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
10,0.6228663921356201,0.9879370331764221,0.7019627690315247,0.12846533954143524,0.6319395303726196,0.6746304631233215,0.1666666716337204,0.6847826242446899,0.704395592212677,0.6697916388511658,0.6697916388511658,0.09583333134651184,1.047714352607727,0.3537120521068573,1.4014264345169067,1.308822512626648,0.4100493788719177,1.718871831893921
11,0.28950297832489014,0.8309072852134705,0.08909041434526443,0.1302231401205063,0.4564283788204193,0.19738933444023132,0.4333333373069763,0.47826087474823,0.3373626470565796,0.40937501192092896,0.3604166805744171,0.02864583395421505,0.997266411781311,0.3312157690525055,1.3284825086593628,2.1293396949768066,1.7593246698379517,3.888664484024048
12,0.6087697148323059,0.9890652894973755,0.7218007445335388,0.5672524571418762,0.6020368337631226,0.6307224035263062,0.6000000238418579,0.655434787273407,0.694505512714386,0.6713541746139526,0.6666666865348816,0.09062500298023224,0.9541849493980408,0.3099154531955719,1.2641005516052246,1.4026395082473755,0.5478406548500061,1.9504801034927368
13,0.5841501951217651,0.978419840335846,0.6123758554458618,0.21089108288288116,0.5576229095458984,0.6753640174865723,0.21111111342906952,0.627173900604248,0.7131868004798889,0.6484375,0.6484375,0.0911458358168602,0.9234130382537842,0.29606208205223083,1.2194747924804688,1.5114872455596924,0.4295501410961151,1.9410374164581299
14,0.6936185359954834,1.0,0.9282910227775574,0.5454031229019165,0.7047852873802185,0.7098602056503296,0.5555555820465088,0.7532608509063721,0.7560439705848694,0.745312511920929,0.745312511920929,0.10625000298023224,0.9106540083885193,0.29228755831718445,1.2029414176940918,1.198911190032959,0.6714066863059998,1.870317816734314
15,0.7051425576210022,0.9996401071548462,0.9154875874519348,0.4798915684223175,0.7612787485122681,0.670158863067627,0.5,0.7956521511077881,0.70659339427948,0.7395833134651184,0.7395833134651184,0.1041666641831398,0.849137544631958,0.27629154920578003,1.125429630279541,1.0423012971878052,0.3963618278503418,1.4386630058288574
16,0.7364063858985901,0.9894100427627563,0.8964523077011108,0.4926135540008545,0.8071788549423218,0.6833630204200745,0.5111111402511597,0.8391304612159729,0.7351648211479187,0.7744791507720947,0.7744791507720947,0.109375,0.8170686960220337,0.26095250248908997,1.0780211687088013,0.9389002919197083,0.2823604345321655,1.221260666847229
17,0.4359002709388733,0.8299296498298645,0.35172414779663086,0.11175742745399475,0.6180946230888367,0.40713074803352356,0.5111111402511597,0.657608687877655,0.504395604133606,0.578125,0.5697916746139526,0.0,0.8049074411392212,0.25694525241851807,1.0618528127670288,1.558143138885498,1.6303123235702515,3.18845534324646
18,0.4891062378883362,0.8877702355384827,0.4390256702899933,0.18759220838546753,0.6461809873580933,0.5040300488471985,0.7222222089767456,0.6728261113166809,0.5505494475364685,0.6171875,0.6104166507720947,0.0,0.7473172545433044,0.24342066049575806,0.990738034248352,1.5391960144042969,1.8666846752166748,3.4058806896209717
19,0.5735403895378113,0.9993034601211548,0.6785914301872253,0.5712871551513672,0.5777857303619385,0.5795608758926392,0.5777778029441833,0.635869562625885,0.6285714507102966,0.629687488079071,0.6270833611488342,0.08177082985639572,0.7554976344108582,0.23898352682590485,0.9944810271263123,1.5023382902145386,0.5712806582450867,2.0736188888549805
20,0.6769581437110901,0.9977878928184509,0.9288980960845947,0.6137033700942993,0.6881300806999207,0.6774411201477051,0.6555555462837219,0.731521725654602,0.708791196346283,0.7171875238418579,0.7093750238418579,0.09739582985639572,0.7268235683441162,0.23398682475090027,0.9608103036880493,1.297767162322998,0.394096702337265,1.6918638944625854
